plantă vegetală
vegetală plantă
fapt fenomen
fenomen fapt
neîndeplinire nerealizare
nerealizare neîndeplinire
mișcare propulsare
propulsare mișcare
alegere opțiune
opțiune alegere
măcinare măcinat
măcinare măciniș
măcinat măcinare
măcinat măciniș
măciniș măcinare
măciniș măcinat
șablon tipar
tipar șablon
funcționare performanță
performanță funcționare
operație operațiune
operațiune operație
conflict război
război conflict
afaceri comerț
comerț afaceri
gânganie gâză
gânganie hexapod
gânganie insectă
gâză gânganie
gâză hexapod
gâză insectă
hexapod gânganie
hexapod gâză
hexapod insectă
insectă gânganie
insectă gâză
insectă hexapod
copitat ungulat
ungulat copitat
imparicopitat perisodactil
perisodactil imparicopitat
chestie chestiune
chestiune chestie
așezămînt stabiliment
stabiliment așezămînt
serviciu slujbă
slujbă serviciu
instalație utilaj
utilaj instalație
țesătură material
material țesătură
fileu plasă
fileu rețea
plasă fileu
plasă rețea
rețea fileu
rețea plasă
mobilă mobilier
mobilier mobilă
doctorie medicament
medicament doctorie
înfloritură decorație
înfloritură decorațiune
înfloritură ornament
înfloritură podoabă
decorație înfloritură
decorație decorațiune
decorație ornament
decorație podoabă
decorațiune înfloritură
decorațiune decorație
decorațiune ornament
decorațiune podoabă
ornament înfloritură
ornament decorație
ornament decorațiune
ornament podoabă
podoabă înfloritură
podoabă decorație
podoabă decorațiune
podoabă ornament
sac sacoșă
sacoșă sac
excavare săpare
săpare excavare
pânză velă
velă pânză
moară râșniță
râșniță moară
pasaj trecere
trecere pasaj
fabrică uzină
uzină fabrică
par prăjină
prăjină par
băț nuia
băț vargă
nuia băț
nuia vargă
vargă băț
vargă nuia
opritoare piedică
piedică opritoare
navă vapor
navă vas
vapor navă
vapor vas
vas navă
vas vapor
magazin prăvălie
prăvălie magazin
caracter structură
structură caracter
fire natură
fire temperament
natură fire
natură temperament
temperament fire
temperament natură
esență natură
esență substanță
natură esență
natură substanță
substanță esență
substanță natură
drept privilegiu
privilegiu drept
corp trup
trup corp
unime unitate
unitate unime
scriere scris
scris scriere
biografie viață
viață biografie
pâine pită
pită pâine
președinte prezident
prezident președinte
existență trai
existență viață
trai existență
trai viață
viață existență
viață trai
ordine rânduială
ordine rost
rânduială ordine
rânduială rost
rost ordine
rost rânduială
instanțiere ocurență
ocurență instanțiere
vână venă
venă vână
număr serie
serie număr
glas voce
voce glas
limbă limbaj
limbaj limbă
însușire învățare
însușire asimilare
învățare însușire
învățare asimilare
asimilare însușire
asimilare învățare
cap minte
minte cap
limbă limbaj
limbă vorbire
limbaj limbă
limbaj vorbire
vorbire limbă
vorbire limbaj
limbaj vorbire
vorbire limbaj
concept idee
concept noțiune
idee concept
idee noțiune
noțiune concept
noțiune idee
simț simțire
simțire simț
plan program
program plan
cifră număr
cifră numeral
număr cifră
număr numeral
numeral cifră
numeral număr
modă vogă
vogă modă
belea pacoste
pacoste belea
cuvânt termen
cuvânt vorbă
termen cuvânt
termen vorbă
vorbă cuvânt
vorbă termen
film peliculă
peliculă film
compoziție compunere
compoziție literatură
compunere compoziție
compunere literatură
literatură compoziție
literatură compunere
abstracțiune abstract
abstract abstracțiune
incapacitate nepricepere
nepricepere incapacitate
lume realitate
realitate lume
știință disciplină
disciplină știință
expresie formă
formă expresie
poezie stihuri
poezie versuri
stihuri poezie
stihuri versuri
versuri poezie
versuri stihuri
confesiune credință
confesiune cult
confesiune religie
confesiune rit
credință confesiune
credință cult
credință religie
credință rit
cult confesiune
cult credință
cult religie
cult rit
religie confesiune
religie credință
religie cult
religie rit
rit confesiune
rit credință
rit cult
rit religie
argumentație argumentare
argumentație raționament
argumentare argumentație
argumentare raționament
raționament argumentație
raționament argumentare
soft software
software soft
ceas oră
oră ceas
praf pudră
praf pulbere
pudră praf
pudră pulbere
pulbere praf
pulbere pudră
dezordine tulburare
tulburare dezordine
deranjament dereglare
deranjament tulburare
dereglare deranjament
dereglare tulburare
tulburare deranjament
tulburare dereglare
existență prezență
prezență existență
timp vreme
vreme timp
fântână izvor
izvor fântână
locutor vorbitor
vorbitor locutor
competitor concurent
concurent competitor
aborigen autohton
aborigen băștinaș
aborigen indigen
aborigen pământean
autohton aborigen
autohton băștinaș
autohton indigen
autohton pământean
băștinaș aborigen
băștinaș autohton
băștinaș indigen
băștinaș pământean
indigen aborigen
indigen autohton
indigen băștinaș
indigen pământean
pământean aborigen
pământean autohton
pământean băștinaș
pământean indigen
cunoștință cunoscut
cunoscut cunoștință
avocat exponent
exponent avocat
copil minor
minor copil
contact legătură
